pi1,coordinator,pi2
1.23,13.67,5.17
1.23,14.0,5.2
1.23,14.0,5.23
1.33,39.0,5.63
4.9,88.33,9.43
4.9,88.67,9.47
4.9,88.67,9.47
4.9,89.0,9.5
4.9,89.67,9.5
4.9,90.0,9.57
4.93,90.0,9.6
5.07,91.0,9.7
5.2,117.0,9.77
36.53,168.33,41.7
36.53,169.0,41.7
36.53,169.33,41.7
36.53,169.33,41.87
36.63,169.33,42.3
36.73,170.33,42.73
36.77,170.33,42.93
36.9,170.33,43.1
46.4,197.0,62.23
68.9,248.67,74.57
69.03,248.67,75.03
69.03,249.33,75.1
69.03,249.67,75.17
69.03,249.67,75.17
69.03,250.0,75.2
69.1,250.67,75.3
69.2,263.67,75.43
89.7,277.33,106.23
101.17,329.0,106.77
101.17,329.0,106.77
101.17,329.0,106.77
101.17,329.67,106.77
101.17,330.0,106.77
101.17,330.0,106.77
101.4,330.67,107.37
101.7,356.67,107.93
132.03,395.67,139.47
133.07,408.67,139.5
133.07,409.0,139.53
133.07,409.0,139.6
133.17,409.33,140.03
133.17,410.0,140.13
133.17,410.0,140.2
133.23,410.67,140.27
133.37,437.0,140.43
165.27,488.67,171.87
165.27,488.67,171.87
165.3,489.33,171.87
165.3,489.67,171.87
165.3,489.67,171.87
165.3,490.33,171.87
165.33,491.0,171.93
165.47,491.67,171.97
175.07,493.0,191.23
194.13,496.0,201.13
194.27,496.33,201.6
