pkSeqID,proto,saddr,sport,daddr,dport,seq,stddev,N_IN_Conn_P_SrcIP,min,state_number,mean,N_IN_Conn_P_DstIP,drate,srate,max,attack,category,subcategory
1781362,tcp,192.168.100.147,41732,192.168.100.3,80,130121,2.245787,100,0.0,3,2.245787,100,0.0,0.143556,4.491574,1,DDoS,TCP
1734741,tcp,192.168.100.148,26005,192.168.100.3,80,83500,0.066813,78,0.0,1,0.066813,100,0.0,0.195556,0.133627,1,DDoS,TCP
58084,tcp,192.168.100.149,7469,192.168.100.5,80,56607,0.0,40,0.0,3,0.0,40,0.0,0.104119,0.0,1,DoS,TCP
1558205,udp,192.168.100.148,9088,192.168.100.6,80,154462,1.742318,100,0.0,4,3.017555,100,0.0,0.237171,4.049423,1,DoS,UDP
908863,udp,192.168.100.148,10183,192.168.100.6,80,29429,1.432136,100,0.0,4,2.864259,100,0.0,0.280292,3.5870550000000003,1,DoS,UDP
376337,tcp,192.168.100.147,18170,192.168.100.7,80,112707,1.7745970000000002,96,0.0,3,1.024564,96,0.0,0.178971,4.098255,1,DoS,TCP
2803807,udp,192.168.100.149,31502,192.168.100.3,80,175190,0.044925,100,3.947378,4,3.992292,100,0.0,0.330977,4.037207,1,DDoS,UDP
2027880,tcp,192.168.100.150,39636,192.168.100.3,80,114486,1.940529,37,0.0,1,2.742602,100,0.0,0.275334,4.198055,1,DDoS,TCP
3310680,udp,192.168.100.148,4412,192.168.100.3,80,157752,0.6466529999999999,100,2.770086,4,3.683675,100,0.0,0.652407,4.17593,1,DDoS,UDP
3602479,icmp,192.168.100.3,0x0303,192.168.100.150,0x0900,7423,0.0,42,0.0,5,0.0,11,0.0,0.0,0.0,1,Reconnaissance,Service_Scan
1825429,tcp,192.168.100.149,42991,192.168.100.3,80,174188,0.0,23,0.267639,1,0.267639,100,0.0,3.736376,0.267639,1,DDoS,TCP
476003,tcp,192.168.100.150,45988,192.168.100.3,80,212374,0.007927,100,0.132683,1,0.14060999999999998,100,0.035649,0.106946,0.148537,1,DoS,TCP
1668036,tcp,192.168.100.148,7523,192.168.100.3,80,16795,0.008435,90,0.0,1,0.008435,100,0.0,0.205713,0.01687,1,DDoS,TCP
1857499,tcp,192.168.100.148,55722,192.168.100.3,80,206258,0.0,100,0.0,3,0.0,100,0.0,0.0,0.0,1,DDoS,TCP
